Year,Month,Total_Purchase_Value_Based_on_Months,Total_value,Percentage_of_Payments_By_Months_2017
2017,1,138488.04,3669022.1199999996,0.037745218063716668
2017,2,291908.01,3669022.1199999996,0.07956016629302852
2017,3,449863.6,3669022.1199999996,0.12261130766908541
2017,4,417788.03,3669022.1199999996,0.11386904094216801
2017,5,592918.82,3669022.1199999996,0.16160132062654339
2017,6,511276.38,3669022.1199999996,0.13934949511833417
2017,7,592382.92,3669022.1199999996,0.1614552599099621
2017,8,674396.32,3669022.1199999996,0.18380819137716184
