Year,Month,Total_Purchase_Value_Based_on_Months,Total_value,Percentage_of_Payments_By_Months_2018
2018,1,1115004.18,8694733.8399999961,0.12823902381812305
2018,2,992463.34,8694733.8399999961,0.11414533880659887
2018,3,1159652.12,8694733.8399999961,0.13337407922310829
2018,4,1160785.48,8694733.8399999961,0.13350442938918075
2018,5,1153982.15,8694733.8399999961,0.13272196380424228
2018,6,1023880.5,8694733.8399999961,0.11775869380723912
2018,7,1066540.75,8694733.8399999961,0.1226651407192472
2018,8,1022425.32,8694733.8399999961,0.11759133043226087
